* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      A1	1		
      A2	1		
      A3	1		
      A4	1	120,849.055	1,069,815.125
      A5	1	102,716.523	662,132.688
      A6	1	96,615.406	840,290.188
      A7	1	95,078.148	823,948.688
      A8	1		
      A9	1		
      A10	1	97,418.469	671,196.250
      A11	1		
      A12	1		
      B1	1		
      B2	1		
      B3	1		
      B4	1	103,416.242	856,298.938
      B5	1	96,874.188	597,827.125
      B6	1	86,217.258	731,566.188
      B7	1	90,681.992	766,097.875
      B8	1		
      B9	1		
      B10	1	86,228.500	571,678.688
      B11	1		
      B12	1		
      C1	1		
      C2	1		
      C3	1		
      C4	1	94,537.000	821,745.312
      C5	1	86,599.875	562,460.688
      C6	1	85,610.773	710,259.688
      C7	1	83,944.141	693,093.438
      C8	1		
      C9	1		
      C10	1	82,591.758	545,603.438
      C11	1		
      C12	1		
      D1	1		
      D2	1		
      D3	1		
      D4	1	93,885.336	843,305.938
      D5	1	88,831.156	610,542.562
      D6	1	81,723.000	686,707.938
      D7	1	83,052.125	683,229.312
      D8	1		
      D9	1		
      D10	1	78,124.188	527,384.875
      D11	1		
      D12	1		
      E1	1		
      E2	1	79,650.211	757,807.125
      E3	1	79,154.453	747,586.750
      E4	1	85,769.680	759,620.750
      E5	1	85,917.000	607,524.688
      E6	1	84,013.555	694,795.000
      E7	1	85,063.031	687,293.625
      E8	1		
      E9	1		
      E10	1	74,418.195	461,744.906
      E11	1		
      E12	1		
      F1	1		
      F2	1	77,566.305	1,253,210.875
      F3	1	62,468.887	1,307,920.000
      F4	1	94,411.047	833,302.188
      F5	1	84,623.219	576,649.312
      F6	1	76,908.227	620,322.125
      F7	1	86,313.727	671,731.562
      F8	1		
      F9	1		
      F10	1	78,629.281	428,326.938
      F11	1		
      F12	1		
      G1	1		
      G2	1	56,171.543	1,728,665.250
      G3	1	53,209.688	1,769,702.125
      G4	1	87,510.172	794,753.000
      G5	1	71,870.375	540,736.250
      G6	1	75,411.242	605,395.250
      G7	1	79,251.938	624,467.125
      G8	1		
      G9	1		
      G10	1	74,121.719	403,456.719
      G11	1		
      G12	1		
      H1	1		
      H2	1	40,607.375	2,133,251.500
      H3	1	39,270.531	2,138,163.500
      H4	1		
      H5	1		
      H6	1		
      H7	1		
      H8	1		
      H9	1		
      H10	1		
      H11	1		
      H12	1		
      A1	2		
      A2	2		
      A3	2		
      A4	2	123,617.469	1,086,690.125
      A5	2	103,996.336	656,075.125
      A6	2	98,499.141	859,877.500
      A7	2	96,805.711	856,926.875
      A8	2		
      A9	2		
      A10	2	97,235.797	688,179.000
      A11	2		
      A12	2		
      B1	2		
      B2	2		
      B3	2		
      B4	2	105,636.133	874,415.812
      B5	2	97,208.836	592,726.062
      B6	2	87,376.625	749,267.125
      B7	2	92,409.922	781,290.750
      B8	2		
      B9	2		
      B10	2	86,160.414	589,341.875
      B11	2		
      B12	2		
      C1	2		
      C2	2		
      C3	2		
      C4	2	97,006.758	837,317.188
      C5	2	86,806.156	558,165.812
      C6	2	88,864.117	735,691.688
      C7	2	86,140.680	714,672.250
